location_id,pm25,pm10,co,Latitude,Longtitude
2,40.24221372,42.81499207,18.79287203,43.23850087,76.89002642
9,61.32585019,70.25809682,2.52813369,43.21285338,76.92083159
317,108.94657493,127.51362629,20.54791050,43.24680526,76.87696106
334,76.65395572,90.88445999,12.25657749,43.23556115,76.90451482
337,78.21496960,88.48873060,10.83386637,43.24429058,76.91609303
741,114.03090880,132.97810783,92.33841741,43.23766200,76.93502300
780,69.32386961,78.01756493,6.98911135,43.19978000,76.89422100
781,60.96861343,71.90699785,7.28037173,43.21427800,76.89783700
802,84.07435526,94.35547313,17.95383578,43.24182600,76.93783600
